,date,sigma,std_sigma,precip,LAI,rzsm,psi_rz,ssm,psi_s,lc_type,B1,B2,B3,B4,B5,B6,B7,B1_filt,B2_filt,B3_filt,B4_filt,B5_filt,B6_filt,B7_filt
2019,2017-08-04 13:23:00,-12.762325,7.492393,0.0,0.30000000000000004,21.06,2.068387721052043,22.82,1.2970232472179495,11,0.06515000000000001,0.0828,0.11580000000000001,0.14500000000000005,0.26160000000000005,0.32320000000000004,0.21485000000000004,0.03087789855072419,0.04946271221532018,0.08970013457556804,0.11959847826086781,0.24639639751552433,0.33001424430641335,0.2190319254658353
2019,2017-08-09 13:31:00,-13.522027,7.84897,0.0,0.2,21.02,2.0913796536269995,22.6,1.3721807541128752,11,0.06515000000000001,0.0828,0.11580000000000001,0.14500000000000005,0.26160000000000005,0.32320000000000004,0.21485000000000004,0.03087789855072419,0.04946271221532018,0.08970013457556804,0.11959847826086781,0.24639639751552433,0.33001424430641335,0.2190319254658353
2019,2017-08-16 13:23:00,-14.004654,8.131385,0.0,0.2,20.94,2.1382683253902153,22.220000000000002,1.5143732403977093,11,0.065,0.08535000000000001,0.121475,0.15142500000000003,0.25815000000000005,0.32017500000000004,0.21292500000000003,0.056329751552794204,0.07409714285714177,0.11084198757763812,0.14192105590061901,0.25676456521738755,0.3183267701863307,0.21228791925465526
2019,2017-08-21 13:31:00,-12.541155,7.260802,0.0,0.30000000000000004,20.76,2.24834720414268,22.279999999999998,1.4908129599924937,11,0.06485,0.08790000000000002,0.12714999999999999,0.15785000000000002,0.25470000000000004,0.31715000000000004,0.21100000000000002,0.08960017598343555,0.10639144927536073,0.13871079710144724,0.17014493788819623,0.2722942857142817,0.30182730848860834,0.20255279503105292
2019,2017-08-28 13:23:00,-13.552143,7.8408265,0.0,0.2,20.580000000000002,2.3651266814687273,22.160000000000004,1.5383710811704616,11,0.0425,0.04835,0.08935,0.12789999999999999,0.25465000000000004,0.3062,0.19995000000000002,0.10900333333333173,0.12564190476190293,0.15546963768115712,0.18640381987577367,0.27699763975154873,0.28264707039337056,0.19001357142856862
2019,2017-09-02 13:31:00,-11.702484,6.7641087,0.0,0.2,20.42,2.4749365311714144,22.22,1.5143732403977115,11,0.0425,0.04835,0.08935,0.12789999999999999,0.25465000000000004,0.3062,0.19995000000000002,0.10900333333333173,0.12564190476190293,0.15546963768115712,0.18640381987577367,0.27699763975154873,0.28264707039337056,0.19001357142856862
2019,2017-09-09 13:23:00,-13.225142,7.863284,0.0,0.2,20.4,2.489078680646723,21.880000000000003,1.6564272522598826,11,0.0627,0.08264999999999999,0.11965,0.1552,0.25135,0.3114,0.21015,0.1225109006211162,0.1392829813664576,0.16752972049689194,0.19717813664595982,0.276745900621114,0.26187431677018247,0.17600782608695392
2019,2017-09-21 13:23:00,-14.102553,8.45331,0.0,0.2,20.1,2.7130073565078954,21.119999999999997,2.0344528525765853,11,0.05966666666666667,0.07911666666666665,0.11526666666666667,0.1469,0.23755,0.30068333333333336,0.20465,0.1599339958592109,0.17547368530020446,0.19926657349896187,0.22708810559005876,0.2928826708074491,0.2394577743271186,0.1624444409937864
2019,2017-09-26 13:31:00,-12.438667,7.185491,0.0,0.2,20.1,2.7130073565078954,21.64,1.766139817133428,11,0.05966666666666667,0.07911666666666665,0.11526666666666667,0.1469,0.23755,0.30068333333333336,0.20465,0.1599339958592109,0.17547368530020446,0.19926657349896187,0.22708810559005876,0.2928826708074491,0.2394577743271186,0.1624444409937864
2019,2017-10-15 13:23:00,-12.848648,7.418283,0.0,0.2,19.32,3.415067392739534,35.540000000000006,0.09867140132335697,11,0.0536,0.07205,0.10650000000000001,0.1303,0.20995,0.27925,0.19365000000000002,0.286199813664592,0.2969495652173869,0.30641791925465384,0.3282622463768067,0.36583966873705465,0.1964076086956493,0.1398291407867474
