,site,precip,rzsm,psi_rz,ssm,psi_s,lc_type,vv,hv,B1,B2,B3,B4,B5,B6,B7,B1_filt,B2_filt,B3_filt,B4_filt,B5_filt,B6_filt,B7_filt,ndvi,ndmi,evi,id,elev,clay_fract,silt_fract,sand_fract,a,b,ws
2018-08-19,2215.0,0.0,4.2799999999999985,111309.63419746427,6.24,9625.704143687692,11.0,-13.003647666666666,-19.111113,0.07135,0.0796,0.10075,0.1186,0.21365,0.26645,0.21115,0.033622697597243345,0.04511118685982361,0.07145975366157248,0.09229212770031034,0.18807258878713595,0.25701737659146984,0.19940660151887607,0.3416280846135441,-0.1549007912269771,0.17061105154081713,2215.0,7825.0,30.0,34.0,36.0,0.00014490155169,-6.4925792,5.143005124176793
2018-08-31,2215.0,0.0,3.76,258094.52869617078,6.12,10919.066656236784,11.0,-13.984493,-23.410824,0.05415,0.06325,0.08735000000000001,0.1083,0.19815,0.24165,0.18675,0.05387660348660396,0.06474121738621796,0.08843460746460828,0.10848394758394857,0.199224564174566,0.2429913261963284,0.1891422364572382,0.2948914739863596,-0.09897148197242403,0.16624408267129007,2215.0,7825.0,30.0,34.0,36.0,0.00014490155169,-6.4925792,3.983496832282634
2018-09-12,2215.0,0.0,3.98,178419.81305834829,5.88,14157.553515726291,11.0,-13.396097833333334,-22.371831000000004,0.05415,0.06325,0.08735000000000001,0.1083,0.19815,0.24165,0.18675,0.05387660348660396,0.06474121738621796,0.08843460746460828,0.10848394758394857,0.199224564174566,0.2429913261963284,0.1891422364572382,0.2948914739863596,-0.09897148197242403,0.16624408267129007,2215.0,7825.0,30.0,34.0,36.0,0.00014490155169,-6.4925792,3.9543389383148915
2018-09-24,2215.0,0.0,3.5800000000000005,354896.7466323608,5.7200000000000015,16934.708812294102,11.0,-14.738061333333334,-20.306512333333334,0.05125,0.06170000000000001,0.08345,0.1048,0.18035,0.2278,0.17985,0.07641238168649944,0.08582831455596175,0.10580924461512717,0.12404746414864075,0.20971710993652184,0.2276533585686528,0.17764433329433332,0.2566768687860259,-0.041009281430071536,0.16345556355377763,2215.0,7825.0,30.0,34.0,36.0,0.00014490155169,-6.4925792,3.5942991023037196
2018-10-18,2215.0,0.0,2.9200000000000004,1332589.5854718208,4.98,41630.795316101634,11.0,-13.686237,-21.901937333333336,0.04,0.0485,0.06655,0.08135,0.1555,0.17604999999999998,0.1326,0.13589811340752533,0.14095077825724905,0.15070388825800612,0.16317902339314122,0.23602759557877215,0.1868779074873192,0.14690900673783025,0.1824833775883768,0.11621907904984599,0.15727634487192715,2215.0,7825.0,30.0,34.0,36.0,0.00014490155169,-6.4925792,3.2463692793894574
2018-10-30,2215.0,0.0,3.1800000000000006,765920.2774295639,5.44,23458.342370589082,11.0,-16.108668333333334,-25.212903333333333,0.04,0.0485,0.06655,0.08135,0.1555,0.17604999999999998,0.1326,0.13589811340752533,0.14095077825724905,0.15070388825800612,0.16317902339314122,0.23602759557877215,0.1868779074873192,0.14690900673783025,0.1824833775883768,0.11621907904984599,0.15727634487192715,2215.0,7825.0,30.0,34.0,36.0,0.00014490155169,-6.4925792,3.4556191108827625
2018-11-11,2215.0,0.0,3.44,459815.12462773843,5.0,40561.4362461443,11.0,-14.773838666666668,-21.528896,0.0347,0.04435,0.0592,0.07265,0.1292,0.152,0.11505,0.17410181107004655,0.17636450255450276,0.17958607336136775,0.1881664356487888,0.2527127904298494,0.16008001463648516,0.12668211387093736,0.1464037109554073,0.224405015437414,0.15237893756622167,2215.0,7825.0,30.0,34.0,36.0,0.00014490155169,-6.4925792,3.399811240638445
2018-11-17,2215.0,0.0,3.6,342289.35322044336,5.0,40561.4362461443,11.0,-15.029818666666666,-26.158590000000004,0.0347,0.04435,0.0592,0.07265,0.1292,0.152,0.11505,0.17410181107004655,0.17636450255450276,0.17958607336136775,0.1881664356487888,0.2527127904298494,0.16008001463648516,0.12668211387093736,0.1464037109554073,0.224405015437414,0.15237893756622167,2215.0,7825.0,30.0,34.0,36.0,0.00014490155169,-6.4925792,3.3501778155718767
2018-12-17,2215.0,0.0,3.38,515463.441993026,4.74,57370.288152588,11.0,-14.628901,-17.399246333333334,0.38328333333333336,0.3714333333333334,0.33981666666666666,0.32996666666666674,0.3560833333333333,0.05348333333333333,0.04651666666666666,0.2674308699991056,0.2628969360422304,0.25022017013193515,0.2489845254268786,0.2931430841919078,0.09366389431448233,0.07650986895986882,0.0814541779122459,0.5157073190553362,0.13540200338595124,2215.0,7825.0,30.0,34.0,36.0,0.00014490155169,-6.4925792,3.6304903308852574
2018-12-29,2215.0,0.6181372549019607,2.9,1393400.0214795729,4.9,46246.48432050122,11.0,-13.015721666666666,-19.674237666666667,0.4716166666666667,0.4591666666666667,0.4330833333333334,0.4274333333333333,0.4660166666666668,0.07861666666666668,0.07978333333333333,0.32255623126564337,0.3140156452327044,0.29197208179914097,0.28481520294932083,0.31688818310288913,0.054045666843313606,0.04656451691569319,0.05330363913023636,0.7085967384688567,0.11955715848632471,2215.0,7825.0,30.0,34.0,36.0,0.00014490155169,-6.4925792,3.418742222792001
2015-06-24,2189.0,0.0,10.84,120.4952311762777,9.1,338.9319168482648,12.0,-11.990574333333333,-22.765000666666666,0.1583,0.195,0.2788,0.3396,0.4198,0.5439,0.4287,0.15863372401592304,0.19438611233967384,0.27963188854489324,0.3342223352498913,0.4056656346749249,0.5193383237505558,0.401973971693943,0.09655961757601397,-0.12288886770724937,0.09144841571191775,2189.0,2697.0,27.0,38.0,35.0,0.00023839925447,-5.910713000000001,8.494836406011444
2015-07-18,2189.0,0.0,11.24,97.26415030385479,9.22,313.67744825977695,12.0,-11.252463,-22.34411,0.1653,0.2019,0.2892,0.3448,0.4218,0.5465,0.4257,0.1584781291463963,0.1945762863039964,0.2793875792422248,0.3344179787704574,0.4076586097596957,0.5230183989385256,0.40417327141383097,0.09869686245500287,-0.12395255077826488,0.09366555391915542,2189.0,2697.0,27.0,38.0,35.0,0.00023839925447,-5.910713000000001,7.98481731916533
2015-08-11,2189.0,0.0,11.220000000000002,98.29342397124468,9.36,286.9446337097527,12.0,-11.049097666666668,-23.740131,0.1703,0.2106,0.3025,0.35650000000000004,0.4281,0.5552,0.4344,0.1626138213180018,0.2007868863334819,0.2891154135338362,0.34739153029633096,0.4258453560371541,0.5534508624502463,0.42777908005307613,0.10146156647134813,-0.13030327699027458,0.09785723698362676,2189.0,2697.0,27.0,38.0,35.0,0.00023839925447,-5.910713000000001,8.141942026288154
